geometry,x,y,sample_id,assigned_file
POINT (1644727.481 7501836.151),1644727.481,7501836.151,59,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1957435.373 7230737.318),1957435.373,7230737.318,60,/home/grace/FloodFiles/FPR06Bldgs_SVI_Pop_Feb2025.gdb
POINT (1730975.976 7518374.099),1730975.976,7518374.099,61,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1360636.692 7327337.946),1360636.692,7327337.946,62,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (2052511.635 7429270.035),2052511.635,7429270.035,63,/home/grace/FloodFiles/FPR04Bldgs_SVI_Pop_Feb2025.gdb
POINT (2019949.873 7292942.327),2019949.873,7292942.327,64,/home/grace/FloodFiles/FPR05Bldgs_SVI_Pop_Feb2025.gdb
POINT (1924422.913 7732132.625),1924422.913,7732132.625,65,/home/grace/FloodFiles/FPR02Bldgs_SVI_Pop_Feb2025.gdb
POINT (1312125.59 7406153.053),1312125.59,7406153.053,66,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1654548.928 7221329.872),1654548.928,7221329.872,67,/home/grace/FloodFiles/FPR08Bldgs_SVI_Pop_Feb2025.gdb
POINT (1881475.641 7434061.533),1881475.641,7434061.533,68,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1633149.08 7552172.75),1633149.08,7552172.75,69,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1235878.768 7380656.289),1235878.768,7380656.289,70,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1537619.622 7390006.012),1537619.622,7390006.012,71,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1122312.05 7463992.437),1122312.05,7463992.437,72,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1757642.239 7511625.296),1757642.239,7511625.296,73,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1988750.891 7510408.72),1988750.891,7510408.72,74,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1982770.776 7702845.886),1982770.776,7702845.886,75,/home/grace/FloodFiles/FPR02Bldgs_SVI_Pop_Feb2025.gdb
POINT (1183355.602 7394628.992),1183355.602,7394628.992,76,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1626296.309 6970770.569),1626296.309,6970770.569,77,/home/grace/FloodFiles/FPR15Bldgs_SVI_Pop_Feb2025.gdb
POINT (1790747.793 7194668.907),1790747.793,7194668.907,78,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1331494.076 7512964.705),1331494.076,7512964.705,79,/home/grace/FloodFiles/FPR09Bldgs_SVI_Pop_Feb2025.gdb
POINT (1809695.045 7471069.113),1809695.045,7471069.113,80,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1335131.076 7829039.082),1335131.076,7829039.082,81,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1324819.096 7487649.293),1324819.096,7487649.293,82,/home/grace/FloodFiles/FPR09Bldgs_SVI_Pop_Feb2025.gdb
POINT (1408324.643 7632700.385),1408324.643,7632700.385,83,/home/grace/FloodFiles/FPR07Bldgs_SVI_Pop_Feb2025.gdb
POINT (1943415.923 7512776.559),1943415.923,7512776.559,84,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1811657.014 7419638.026),1811657.014,7419638.026,85,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1595754.649 7157197.322),1595754.649,7157197.322,86,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1708261.784 7016565.085),1708261.784,7016565.085,87,/home/grace/FloodFiles/FPR13Bldgs_SVI_Pop_Feb2025.gdb
POINT (1862158.804 7398595.518),1862158.804,7398595.518,88,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1485561.176 7264714.183),1485561.176,7264714.183,89,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1589369.222 7094689.697),1589369.222,7094689.697,90,/home/grace/FloodFiles/FPR13Bldgs_SVI_Pop_Feb2025.gdb
POINT (1723958.988 7324389.435),1723958.988,7324389.435,91,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1633183.572 7160222.455),1633183.572,7160222.455,92,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1532142.84 7070188.657),1532142.84,7070188.657,93,/home/grace/FloodFiles/FPR13Bldgs_SVI_Pop_Feb2025.gdb
POINT (1591687.374 7570581.582),1591687.374,7570581.582,94,/home/grace/FloodFiles/FPR07Bldgs_SVI_Pop_Feb2025.gdb
POINT (1472430.835 7992113.458),1472430.835,7992113.458,95,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1852260.158 7179356.105),1852260.158,7179356.105,96,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1433856.981 7953643.319),1433856.981,7953643.319,97,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1553097.807 7466710.834),1553097.807,7466710.834,98,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1094080.463 7355252.707),1094080.463,7355252.707,99,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1982056.236 7625135.838),1982056.236,7625135.838,100,/home/grace/FloodFiles/FPR02Bldgs_SVI_Pop_Feb2025.gdb
POINT (1652695.319 7022455.024),1652695.319,7022455.024,101,/home/grace/FloodFiles/FPR13Bldgs_SVI_Pop_Feb2025.gdb
POINT (1585120.821 7780792.997),1585120.821,7780792.997,102,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1352012.611 7601538.514),1352012.611,7601538.514,103,/home/grace/FloodFiles/FPR07Bldgs_SVI_Pop_Feb2025.gdb
POINT (1746501.392 7394941.408),1746501.392,7394941.408,104,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1164068.82 7443700.12),1164068.82,7443700.12,105,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1634217.873 7282328.65),1634217.873,7282328.65,106,/home/grace/FloodFiles/FPR08Bldgs_SVI_Pop_Feb2025.gdb
POINT (1615492.154 7213726.328),1615492.154,7213726.328,107,/home/grace/FloodFiles/FPR08Bldgs_SVI_Pop_Feb2025.gdb
POINT (1149665.088 7442214.242),1149665.088,7442214.242,108,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1104210.716 7428991.181),1104210.716,7428991.181,109,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1360039.82 7406976.392),1360039.82,7406976.392,110,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1280441.399 7778250.547),1280441.399,7778250.547,111,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1515970.988 7394861.129),1515970.988,7394861.129,112,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1076706.998 7422289.966),1076706.998,7422289.966,113,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1371400.162 7985719.832),1371400.162,7985719.832,114,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1727150.961 7350642.021),1727150.961,7350642.021,115,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1822723.636 7230982.173),1822723.636,7230982.173,116,/home/grace/FloodFiles/FPR08Bldgs_SVI_Pop_Feb2025.gdb
POINT (1844779.217 7483121.141),1844779.217,7483121.141,117,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1912233.991 7203116.646),1912233.991,7203116.646,118,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1792464.661 7473995.562),1792464.661,7473995.562,119,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1409120.842 7511855.602),1409120.842,7511855.602,120,/home/grace/FloodFiles/FPR09Bldgs_SVI_Pop_Feb2025.gdb
POINT (1250142.729 7649587.95),1250142.729,7649587.95,121,/home/grace/FloodFiles/FPR07Bldgs_SVI_Pop_Feb2025.gdb
POINT (1171658.79 7546475.833),1171658.79,7546475.833,122,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1386258.03 8005700.151),1386258.03,8005700.151,123,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1096597.224 7272688.715),1096597.224,7272688.715,124,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1344216.269 7334058.582),1344216.269,7334058.582,125,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1853336.973 7544090.638),1853336.973,7544090.638,126,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1378558.465 7708629.402),1378558.465,7708629.402,127,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1625819.553 7538444.042),1625819.553,7538444.042,128,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1417252.734 7790986.079),1417252.734,7790986.079,129,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1184592.109 7239085.152),1184592.109,7239085.152,130,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1493104.339 7806403.563),1493104.339,7806403.563,131,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1876399.412 7504742.597),1876399.412,7504742.597,132,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1254673.7 7492648.717),1254673.7,7492648.717,133,/home/grace/FloodFiles/FPR09Bldgs_SVI_Pop_Feb2025.gdb
POINT (1376431.523 7281744.228),1376431.523,7281744.228,134,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1357667.503 7959256.847),1357667.503,7959256.847,135,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1893774.159 7686782.166),1893774.159,7686782.166,136,/home/grace/FloodFiles/FPR02Bldgs_SVI_Pop_Feb2025.gdb
POINT (1572697.187 7562598.887),1572697.187,7562598.887,137,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1223967.208 7413628.612),1223967.208,7413628.612,138,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1680369.483 7586198.155),1680369.483,7586198.155,139,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1585359.194 7386492.124),1585359.194,7386492.124,140,/home/grace/FloodFiles/FPR08Bldgs_SVI_Pop_Feb2025.gdb
POINT (1513871.779 7178190.286),1513871.779,7178190.286,141,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1893164.441 7759670.555),1893164.441,7759670.555,142,/home/grace/FloodFiles/FPR02Bldgs_SVI_Pop_Feb2025.gdb
POINT (1854834.409 7509129.935),1854834.409,7509129.935,143,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (2085080.805 7423200.912),2085080.805,7423200.912,144,/home/grace/FloodFiles/FPR04Bldgs_SVI_Pop_Feb2025.gdb
POINT (1410029.262 7428577.448),1410029.262,7428577.448,145,/home/grace/FloodFiles/FPR09Bldgs_SVI_Pop_Feb2025.gdb
POINT (1287879.321 7546036.21),1287879.321,7546036.21,146,/home/grace/FloodFiles/FPR09Bldgs_SVI_Pop_Feb2025.gdb
POINT (1235554.582 7647672.443),1235554.582,7647672.443,147,/home/grace/FloodFiles/FPR07Bldgs_SVI_Pop_Feb2025.gdb
POINT (1831891.357 7646238.448),1831891.357,7646238.448,148,/home/grace/FloodFiles/FPR02Bldgs_SVI_Pop_Feb2025.gdb
POINT (1853406.72 7341599.706),1853406.72,7341599.706,149,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1372076.694 7379586.965),1372076.694,7379586.965,150,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1218542.963 7374099.576),1218542.963,7374099.576,151,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1717054.787 7254092.765),1717054.787,7254092.765,152,/home/grace/FloodFiles/FPR08Bldgs_SVI_Pop_Feb2025.gdb
POINT (1331866.992 7380283.031),1331866.992,7380283.031,153,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1668676.354 7743664.065),1668676.354,7743664.065,154,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1149427.845 7481146.928),1149427.845,7481146.928,155,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1676575.316 7362489.627),1676575.316,7362489.627,156,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1351396.319 7547685.635),1351396.319,7547685.635,157,/home/grace/FloodFiles/FPR09Bldgs_SVI_Pop_Feb2025.gdb
POINT (1545392 7023314),1545392.0,7023314.0,158,/home/grace/FloodFiles/FPR13Bldgs_SVI_Pop_Feb2025.gdb
POINT (951230.1029 7472306.886),951230.1029,7472306.886,159,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1981206.672 7360949.732),1981206.672,7360949.732,160,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1756392.569 7356604.952),1756392.569,7356604.952,161,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1687716.729 7116522.9),1687716.729,7116522.9,162,/home/grace/FloodFiles/FPR12Bldgs_SVI_Pop_Feb2025.gdb
POINT (1669961.423 7132701.446),1669961.423,7132701.446,163,/home/grace/FloodFiles/FPR12Bldgs_SVI_Pop_Feb2025.gdb
POINT (1553538.872 7115235.596),1553538.872,7115235.596,164,/home/grace/FloodFiles/FPR12Bldgs_SVI_Pop_Feb2025.gdb
POINT (1452571.821 7244453.631),1452571.821,7244453.631,165,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1307806.028 7430323.675),1307806.028,7430323.675,166,/home/grace/FloodFiles/FPR09Bldgs_SVI_Pop_Feb2025.gdb
POINT (1947814.48 7510584.364),1947814.48,7510584.364,167,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1130914.411 7433619.63),1130914.411,7433619.63,168,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1936535.204 7244813.948),1936535.204,7244813.948,169,/home/grace/FloodFiles/FPR06Bldgs_SVI_Pop_Feb2025.gdb
POINT (1740878.685 7112331.832),1740878.685,7112331.832,170,/home/grace/FloodFiles/FPR13Bldgs_SVI_Pop_Feb2025.gdb
POINT (1809798.32 7436909.707),1809798.32,7436909.707,171,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1832489.259 7524883.692),1832489.259,7524883.692,172,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1201333.59 7293976.412),1201333.59,7293976.412,173,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1321994.541 7923393.296),1321994.541,7923393.296,174,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (1275226.339 7515584.417),1275226.339,7515584.417,175,/home/grace/FloodFiles/FPR09Bldgs_SVI_Pop_Feb2025.gdb
POINT (1177555.976 7480172.205),1177555.976,7480172.205,176,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1801813.125 7194130.268),1801813.125,7194130.268,177,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1520879.7 7265946.56),1520879.7,7265946.56,178,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1393011.315 7710423.782),1393011.315,7710423.782,179,/home/grace/FloodFiles/FPR01Bldgs_SVI_Pop_Feb2025.gdb
POINT (2010377.858 7654592.873),2010377.858,7654592.873,180,/home/grace/FloodFiles/FPR02Bldgs_SVI_Pop_Feb2025.gdb
POINT (1764399.322 7065924.498),1764399.322,7065924.498,181,/home/grace/FloodFiles/FPR13Bldgs_SVI_Pop_Feb2025.gdb
POINT (1601631.807 7150426.406),1601631.807,7150426.406,182,/home/grace/FloodFiles/FPR10Bldgs_SVI_Pop_Feb2025.gdb
POINT (1779595.246 7741900.243),1779595.246,7741900.243,183,/home/grace/FloodFiles/FPR02Bldgs_SVI_Pop_Feb2025.gdb
POINT (1679527.285 7611305.168),1679527.285,7611305.168,184,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1715362.119 7423325.428),1715362.119,7423325.428,185,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1822032.636 7371560.421),1822032.636,7371560.421,186,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1430906.229 7335429.913),1430906.229,7335429.913,187,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (2035788.538 7300878.525),2035788.538,7300878.525,188,/home/grace/FloodFiles/FPR05Bldgs_SVI_Pop_Feb2025.gdb
POINT (1431526.632 7396527.713),1431526.632,7396527.713,189,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1886534.55 7536604.924),1886534.55,7536604.924,190,/home/grace/FloodFiles/FPR03Bldgs_SVI_Pop_Feb2025.gdb
POINT (1155346.607 7497162.957),1155346.607,7497162.957,191,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (1036591.225 7390744.492),1036591.225,7390744.492,192,/home/grace/FloodFiles/FPR14Bldgs_SVI_Pop_Feb2025.gdb
POINT (2051197.973 7488248.771),2051197.973,7488248.771,193,/home/grace/FloodFiles/FPR04Bldgs_SVI_Pop_Feb2025.gdb
POINT (2058871.036 7496684.604),2058871.036,7496684.604,194,/home/grace/FloodFiles/FPR04Bldgs_SVI_Pop_Feb2025.gdb
POINT (2048496.339 7594501.793),2048496.339,7594501.793,195,/home/grace/FloodFiles/FPR04Bldgs_SVI_Pop_Feb2025.gdb
